loan_id,loan_no,member_id,application_id,status,principal_amount,principal_outstanding,disbursement_cash_bank_id,disbursement_journal_id,schedule_count,payment_count,created_at
3581,SP-MGR/0119/PRIM/VII/2026,1322,3596,active,10000000,4000000,,,10,0,2026-07-25T15:22:33.426Z
3582,SP-MGR/0120/PRIM/VII/2026,762,3597,active,30000000,29444000,,,36,0,2026-07-25T15:22:33.447Z
3583,SP-MGR/0121/PRIM/VII/2026,1173,3598,active,28000000,23328000,,,48,0,2026-07-25T15:22:33.480Z
3584,SP-MGR/0122/PRIM/VII/2026,1269,3599,active,8500000,4240000,,,24,0,2026-07-25T15:22:33.505Z
3585,SP-MGR/0123/PRIM/VII/2026,1075,3600,active,2000000,1000000,,,10,0,2026-07-25T15:22:33.527Z
3586,SP-MGR/0124/PRIM/VII/2026,1238,3601,active,10000000,4000000,,,20,0,2026-07-25T15:22:33.549Z
3587,SP-MGR/0125/PRIM/VII/2026,943,3602,active,105000000,70000000,,,24,0,2026-07-25T15:22:33.571Z
3588,SP-MGR/0126/PRIM/VII/2026,1316,3603,active,70000000,62998000,,,30,0,2026-07-25T15:22:33.592Z
3589,SP-MGR/0127/PRIM/VII/2026,819,3604,active,20000000,14162000,,,24,0,2026-07-25T15:22:33.615Z
3590,SP-MGR/0128/PRIM/VII/2026,1069,3605,active,40000000,25822000,,,48,0,2026-07-25T15:22:33.637Z
3591,SP-MGR/0129/PRIM/VII/2026,1083,3606,active,40000000,19150000,,,48,0,2026-07-25T15:22:33.662Z
3592,SP-MGR/0130/PRIM/VII/2026,1306,3607,active,30000000,22494000,,,36,0,2026-07-25T15:22:33.685Z
3593,SP-MGR/0131/PRIM/VII/2026,1332,3608,active,60000000,43320000,,,72,0,2026-07-25T15:22:33.708Z
3594,SP-MGR/0132/PRIM/VII/2026,1288,3609,active,2000000,700000,,,20,0,2026-07-25T15:22:33.734Z
3595,SP-MGR/0133/PRIM/VII/2026,850,3610,active,10000000,5000000,,,10,0,2026-07-25T15:22:33.756Z
3596,SP-MGR/0134/PRIM/VII/2026,1096,3611,active,15000000,14166000,,,36,0,2026-07-25T15:22:33.777Z
3597,SP-MGR/0135/PRIM/VII/2026,956,3612,active,20000000,18888000,,,36,0,2026-07-25T15:22:33.800Z
3598,SP-MGR/0136/PRIM/VII/2026,734,3613,active,7000000,700000,,,20,0,2026-07-25T15:22:33.823Z
3599,SP-MGR/0137/PRIM/VII/2026,716,3614,active,15000000,14375000,,,24,0,2026-07-25T15:22:33.845Z
3600,SP-MGR/0138/PRIM/VII/2026,745,3615,active,30000000,15000000,,,24,0,2026-07-25T15:22:33.866Z
3601,SP-MGR/0139/PRIM/VII/2026,710,3616,active,50000000,38888000,,,36,0,2026-07-25T15:22:33.888Z
3602,SP-MGR/0140/PRIM/VII/2026,732,3617,active,60000000,21659000,,,36,0,2026-07-25T15:22:33.911Z
3603,SP-MGR/0141/PRIM/VII/2026,754,3618,active,5000000,3749000,,,12,0,2026-07-25T15:22:33.944Z
3604,SP-MGR/0142/PRIM/VII/2026,724,3619,active,9000000,6375000,,,24,0,2026-07-25T15:22:33.966Z
3605,SP-MGR/0143/PRIM/VII/2026,718,3620,active,10000000,7000000,,,20,0,2026-07-25T15:22:33.988Z
3606,SP-MGR/0144/PRIM/VII/2026,725,3621,active,12000000,11000000,,,24,0,2026-07-25T15:22:34.011Z
3607,SP-MGR/0145/PRIM/VII/2026,750,3622,active,25000000,15622000,,,24,0,2026-07-25T15:22:34.033Z
3608,SP-MGR/0146/PRIM/VII/2026,953,3623,active,18000000,16500000,,,24,0,2026-07-25T15:22:34.056Z
3609,SP-MGR/0147/PRIM/VII/2026,898,3624,active,20000000,12911000,,,48,0,2026-07-25T15:22:34.078Z
3610,SP-MGR/0148/PRIM/VII/2026,1002,3625,active,37000000,14641000,,,48,0,2026-07-25T15:22:34.102Z
3611,SP-MGR/0149/PRIM/VII/2026,720,3626,active,30000000,24996000,,,36,0,2026-07-25T15:22:34.127Z
